exercicio,periodo,relatorio,co_ibge,instituicao,uf,conta,valor,simplificado
2024,3,RGF-Municipio,2304657,GRACA,CE,Disponibilidade de Caixa Bruta,10565811.2,False
2024,3,RGF-Municipio,2304657,GRACA,CE,RECEITA CORRENTE LÍQUIDA,94299198.26,False
2024,3,RGF-Municipio,2304657,GRACA,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,93299198.26,False
2024,3,RGF-Municipio,2304657,GRACA,CE,% da DC sobre a RCL AJUSTADA,0.96,False
2024,3,RGF-Municipio,2304657,GRACA,CE,% da DCL sobre a RCL AJUSTADA,-5.7,False
2024,3,RGF-Municipio,2304657,GRACA,CE,Precatórios (Não incluídos na DC),1412.0,False
2024,3,RGF-Municipio,2306553,ITAREMA,CE,DÍVIDA CONSOLIDADA,91907907.96,False
2024,3,RGF-Municipio,2306553,ITAREMA,CE,Disponibilidade de Caixa,-939159.84,False
2024,3,RGF-Municipio,2306553,ITAREMA,CE,Disponibilidade de Caixa Bruta,13215380.96,False
2024,3,RGF-Municipio,2306553,ITAREMA,CE,RECEITA CORRENTE LÍQUIDA,203967512.67,False
2024,3,RGF-Municipio,2306553,ITAREMA,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,196167512.67,False
2024,3,RGF-Municipio,2306553,ITAREMA,CE,% da DC sobre a RCL AJUSTADA,46.85,False
2024,3,RGF-Municipio,2306553,ITAREMA,CE,% da DCL sobre a RCL AJUSTADA,47.33,False
2024,3,RGF-Municipio,2308609,MONSENHOR TABOSA,CE,DÍVIDA CONSOLIDADA,25041784.31,False
2024,3,RGF-Municipio,2308609,MONSENHOR TABOSA,CE,Disponibilidade de Caixa,-3080991.99,False
2024,3,RGF-Municipio,2308609,MONSENHOR TABOSA,CE,Disponibilidade de Caixa Bruta,2383711.95,False
2024,3,RGF-Municipio,2308609,MONSENHOR TABOSA,CE,RECEITA CORRENTE LÍQUIDA,123098492.69,False
2024,3,RGF-Municipio,2308609,MONSENHOR TABOSA,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,121288492.69,False
2024,3,RGF-Municipio,2308609,MONSENHOR TABOSA,CE,% da DC sobre a RCL AJUSTADA,20.65,False
2024,3,RGF-Municipio,2308609,MONSENHOR TABOSA,CE,% da DCL sobre a RCL AJUSTADA,23.19,False
2024,3,RGF-Municipio,2310951,PIRES FERREIRA,CE,DÍVIDA CONSOLIDADA,9879591.83,False
2024,3,RGF-Municipio,2310951,PIRES FERREIRA,CE,Disponibilidade de Caixa,2066195.11,False
2024,3,RGF-Municipio,2310951,PIRES FERREIRA,CE,Disponibilidade de Caixa Bruta,9898084.39,False
2024,3,RGF-Municipio,2310951,PIRES FERREIRA,CE,RECEITA CORRENTE LÍQUIDA,62350822.88,False
2024,3,RGF-Municipio,2310951,PIRES FERREIRA,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,60810822.88,False
2024,3,RGF-Municipio,2310951,PIRES FERREIRA,CE,% da DC sobre a RCL AJUSTADA,16.25,False
2024,3,RGF-Municipio,2310951,PIRES FERREIRA,CE,% da DCL sobre a RCL AJUSTADA,12.85,False
2024,3,RGF-Municipio,2313104,TABULEIRO DO NORTE,CE,DÍVIDA CONSOLIDADA,26687820.72,False
2024,3,RGF-Municipio,2313104,TABULEIRO DO NORTE,CE,Disponibilidade de Caixa,2027640.32,False
