ano,ente,codigo,instituicao,conta,valor,coluna
2025,municipio,2701308,Prefeitura Municipal de Cajueiro - AL,RECEITA CORRENTE LÍQUIDA,118805777.09,Até o 1º Quadrimestre
2025,municipio,2701308,Prefeitura Municipal de Cajueiro - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,108935381.93,Até o 1º Quadrimestre
2025,municipio,2701308,Prefeitura Municipal de Cajueiro - AL,% da DC sobre a RCL AJUSTADA (I/VI),7.33,Até o 1º Quadrimestre
2025,municipio,2701308,Prefeitura Municipal de Cajueiro - AL,% da DCL sobre a RCL AJUSTADA,6.8,Até o 1º Quadrimestre
2025,municipio,2700904,Prefeitura Municipal de Belo Monte - AL,DÍVIDA CONSOLIDADA,5958516.4,Até o 1º Semestre
2025,municipio,2700904,Prefeitura Municipal de Belo Monte - AL,Precatórios (inclusive) Vencidos e Não Pagos,3200648.57,Até o 1º Semestre
2025,municipio,2700904,Prefeitura Municipal de Belo Monte - AL,Disponibilidade de Caixa,4736506.35,Até o 1º Semestre
2025,municipio,2700904,Prefeitura Municipal de Belo Monte - AL,Disponibilidade de Caixa Bruta,8722275.67,Até o 1º Semestre
2025,municipio,2700904,Prefeitura Municipal de Belo Monte - AL,RECEITA CORRENTE LÍQUIDA,62911428.2,Até o 1º Semestre
2025,municipio,2700904,Prefeitura Municipal de Belo Monte - AL,% da DC sobre a RCL AJUSTADA (I/VI),9.47,Até o 1º Semestre
2025,municipio,2700904,Prefeitura Municipal de Belo Monte - AL,% da DCL sobre a RCL AJUSTADA,1.94,Até o 1º Semestre
2025,municipio,2701803,Prefeitura Municipal de Carneiros - AL,DÍVIDA CONSOLIDADA,3957407.11,Até o 2º Quadrimestre
2025,municipio,2701803,Prefeitura Municipal de Carneiros - AL,Disponibilidade de Caixa,-867706.26,Até o 2º Quadrimestre
2025,municipio,2701803,Prefeitura Municipal de Carneiros - AL,Disponibilidade de Caixa Bruta,4094445.07,Até o 2º Quadrimestre
2025,municipio,2701803,Prefeitura Municipal de Carneiros - AL,RECEITA CORRENTE LÍQUIDA,64292969.92,Até o 2º Quadrimestre
2025,municipio,2701803,Prefeitura Municipal de Carneiros - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,64292969.92,Até o 2º Quadrimestre
2025,municipio,2701803,Prefeitura Municipal de Carneiros - AL,% da DC sobre a RCL AJUSTADA (I/VI),6.16,Até o 2º Quadrimestre
2025,municipio,2701803,Prefeitura Municipal de Carneiros - AL,% da DCL sobre a RCL AJUSTADA,7.5,Até o 2º Quadrimestre
2025,municipio,2701704,Prefeitura Municipal de Capela - AL,DÍVIDA CONSOLIDADA,22526836.06,Até o 2º Quadrimestre
2025,municipio,2701704,Prefeitura Municipal de Capela - AL,Disponibilidade de Caixa,8720953.43,Até o 2º Quadrimestre
2025,municipio,2701704,Prefeitura Municipal de Capela - AL,Disponibilidade de Caixa Bruta,17268558.75,Até o 2º Quadrimestre
2025,municipio,2701704,Prefeitura Municipal de Capela - AL,RECEITA CORRENTE LÍQUIDA,111455074.12,Até o 2º Quadrimestre
