exercicio,instituicao,uf,conta,valor
2019,Prefeitura Municipal de Buenos Aires - PE,PE,DÍVIDA CONSOLIDADA,444646.25
2019,Prefeitura Municipal de Buenos Aires - PE,PE,Disponibilidade de Caixa,10866303.57
2019,Prefeitura Municipal de Buenos Aires - PE,PE,Disponibilidade de Caixa Bruta,11006916.33
2019,Prefeitura Municipal de Buenos Aires - PE,PE,RECEITA CORRENTE LÍQUIDA,28886466.33
2019,Prefeitura Municipal de Buíque - PE,PE,DÍVIDA CONSOLIDADA,3049525.26
2019,Prefeitura Municipal de Buíque - PE,PE,Disponibilidade de Caixa,10404291.64
2019,Prefeitura Municipal de Buíque - PE,PE,Disponibilidade de Caixa Bruta,11712306.03
2019,Prefeitura Municipal de Buíque - PE,PE,RECEITA CORRENTE LÍQUIDA,95798677.16
2019,Prefeitura Municipal de Brejo da Madre de Deus - PE,PE,DÍVIDA CONSOLIDADA,1146413.17
2019,Prefeitura Municipal de Brejo da Madre de Deus - PE,PE,Precatórios (inclusive) Vencidos e Não Pagos,36106.57
2019,Prefeitura Municipal de Brejo da Madre de Deus - PE,PE,Disponibilidade de Caixa Bruta,5573909.63
2019,Prefeitura Municipal de Brejo da Madre de Deus - PE,PE,RECEITA CORRENTE LÍQUIDA,90109987.31
2019,Prefeitura Municipal de Cabo de Santo Agostinho - PE,PE,DÍVIDA CONSOLIDADA,15700874.5
2019,Prefeitura Municipal de Cabo de Santo Agostinho - PE,PE,Disponibilidade de Caixa,162599551.2
2019,Prefeitura Municipal de Cabo de Santo Agostinho - PE,PE,Disponibilidade de Caixa Bruta,170443944.0
2019,Prefeitura Municipal de Cabo de Santo Agostinho - PE,PE,RECEITA CORRENTE LÍQUIDA,714204112.44
2019,Prefeitura Municipal de Cabrobó - PE,PE,DÍVIDA CONSOLIDADA,16835811.56
2019,Prefeitura Municipal de Cabrobó - PE,PE,Disponibilidade de Caixa,1688152.53
2019,Prefeitura Municipal de Cabrobó - PE,PE,Disponibilidade de Caixa Bruta,4219819.11
2019,Prefeitura Municipal de Cabrobó - PE,PE,RECEITA CORRENTE LÍQUIDA,68604492.87
2019,Prefeitura Municipal de Cachoeirinha - PE,PE,DÍVIDA CONSOLIDADA,9561127.97
2019,Prefeitura Municipal de Cachoeirinha - PE,PE,Disponibilidade de Caixa,2501540.84
2019,Prefeitura Municipal de Cachoeirinha - PE,PE,Disponibilidade de Caixa Bruta,2867530.92
2019,Prefeitura Municipal de Cachoeirinha - PE,PE,RECEITA CORRENTE LÍQUIDA,40905574.77
2019,Prefeitura Municipal de Caetés - PE,PE,DÍVIDA CONSOLIDADA,6708775.12
2019,Prefeitura Municipal de Caetés - PE,PE,Disponibilidade de Caixa,5824988.3
2019,Prefeitura Municipal de Caetés - PE,PE,Disponibilidade de Caixa Bruta,8198696.4
2019,Prefeitura Municipal de Caetés - PE,PE,RECEITA CORRENTE LÍQUIDA,58011096.57
2019,Prefeitura Municipal de Calumbi - PE,PE,Disponibilidade de Caixa,469205.97
2019,Prefeitura Municipal de Calumbi - PE,PE,Disponibilidade de Caixa Bruta,4215145.16
2019,Prefeitura Municipal de Calumbi - PE,PE,RECEITA CORRENTE LÍQUIDA,20454668.15
2019,Prefeitura Municipal de Calumbi - PE,PE,Precatórios (Não incluídos na DC),339892.27
2019,Prefeitura Municipal de Camocim de São Félix - PE,PE,DÍVIDA CONSOLIDADA,1001274.88
2019,Prefeitura Municipal de Camocim de São Félix - PE,PE,Precatórios (inclusive) Vencidos e Não Pagos,109297.62
2019,Prefeitura Municipal de Camocim de São Félix - PE,PE,Disponibilidade de Caixa,647464.06
2019,Prefeitura Municipal de Camocim de São Félix - PE,PE,Disponibilidade de Caixa Bruta,2543556.1
2019,Prefeitura Municipal de Camocim de São Félix - PE,PE,RECEITA CORRENTE LÍQUIDA,38439328.89
2019,Prefeitura Municipal de Camaragibe - PE,PE,DÍVIDA CONSOLIDADA,50499383.69
2019,Prefeitura Municipal de Camaragibe - PE,PE,Disponibilidade de Caixa,871187.22
2019,Prefeitura Municipal de Camaragibe - PE,PE,Disponibilidade de Caixa Bruta,9181996.63
2019,Prefeitura Municipal de Camaragibe - PE,PE,RECEITA CORRENTE LÍQUIDA,262132445.1
2019,Prefeitura Municipal de Canhotinho - PE,PE,DÍVIDA CONSOLIDADA,5180812.37
2019,Prefeitura Municipal de Canhotinho - PE,PE,Disponibilidade de Caixa,6696068.6
2019,Prefeitura Municipal de Canhotinho - PE,PE,Disponibilidade de Caixa Bruta,14890961.79
2019,Prefeitura Municipal de Canhotinho - PE,PE,RECEITA CORRENTE LÍQUIDA,64662726.67
2019,Prefeitura Municipal de Capoeiras - PE,PE,DÍVIDA CONSOLIDADA,389150.88
2019,Prefeitura Municipal de Capoeiras - PE,PE,Disponibilidade de Caixa Bruta,2191343.07
2019,Prefeitura Municipal de Capoeiras - PE,PE,RECEITA CORRENTE LÍQUIDA,43652344.44
2019,Prefeitura Municipal de Carpina - PE,PE,DÍVIDA CONSOLIDADA,718506.11
2019,Prefeitura Municipal de Carpina - PE,PE,Precatórios (inclusive) Vencidos e Não Pagos,625096.01
2019,Prefeitura Municipal de Carpina - PE,PE,Disponibilidade de Caixa Bruta,8078253.02
2019,Prefeitura Municipal de Carpina - PE,PE,RECEITA CORRENTE LÍQUIDA,131768547.36
2019,Prefeitura Municipal de Caruaru - PE,PE,DÍVIDA CONSOLIDADA,128297975.36
2019,Prefeitura Municipal de Caruaru - PE,PE,Disponibilidade de Caixa,57797468.79
2019,Prefeitura Municipal de Caruaru - PE,PE,Disponibilidade de Caixa Bruta,89348113.14
2019,Prefeitura Municipal de Caruaru - PE,PE,RECEITA CORRENTE LÍQUIDA,672102917.0
2019,Prefeitura Municipal de Carnaubeira da Penha - PE,PE,DÍVIDA CONSOLIDADA,1242409.49
2019,Prefeitura Municipal de Carnaubeira da Penha - PE,PE,Disponibilidade de Caixa,8339866.83
2019,Prefeitura Municipal de Carnaubeira da Penha - PE,PE,Disponibilidade de Caixa Bruta,9573849.36
2019,Prefeitura Municipal de Carnaubeira da Penha - PE,PE,RECEITA CORRENTE LÍQUIDA,25291499.02
2019,Prefeitura Municipal de Casinhas - PE,PE,DÍVIDA CONSOLIDADA,9225655.83
2019,Prefeitura Municipal de Casinhas - PE,PE,Disponibilidade de Caixa,1482735.65
2019,Prefeitura Municipal de Casinhas - PE,PE,Disponibilidade de Caixa Bruta,2067070.73
2019,Prefeitura Municipal de Casinhas - PE,PE,RECEITA CORRENTE LÍQUIDA,33889248.31
2019,Prefeitura Municipal de Catende - PE,PE,DÍVIDA CONSOLIDADA,12979481.56
2019,Prefeitura Municipal de Catende - PE,PE,Disponibilidade de Caixa Bruta,12136629.27
2019,Prefeitura Municipal de Catende - PE,PE,RECEITA CORRENTE LÍQUIDA,66783000.94
2019,Prefeitura Municipal de Catende - PE,PE,Precatórios (Não incluídos na DC),109045.35
